GBD code	L1	L2	L3	L4	L5	Child Level	Child	Parent GBD Code	Parent
W000	All Causes					L1	All Causes		
W000a	All Causes	Lower uncertainty bound (f)				L2	Lower uncertainty bound (f)	W000	All Causes
W000b	All Causes	Upper uncertainty bound (f)				L2	Upper uncertainty bound (f)	W000	All Causes
W001	All Causes	"Communicable, maternal, perinatal and nutritional conditions"				L2	"Communicable, maternal, perinatal and nutritional conditions"	W000	All Causes
W002	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases			L3	Infectious and parasitic diseases	W001	"Communicable, maternal, perinatal and nutritional conditions"
W003	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Tuberculosis		L4	Tuberculosis	W002	Infectious and parasitic diseases
W004	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	STDs excluding HIV		L4	STDs excluding HIV	W002	Infectious and parasitic diseases
W005	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	STDs excluding HIV	Syphilis	L5	Syphilis	W004	STDs excluding HIV
W006	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	STDs excluding HIV	Chlamydia	L5	Chlamydia	W004	STDs excluding HIV
W007	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	STDs excluding HIV	Gonorrhoea	L5	Gonorrhoea	W004	STDs excluding HIV
W009	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	HIV/AIDS		L4	HIV/AIDS	W002	Infectious and parasitic diseases
W010	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Diarrhoeal diseases		L4	Diarrhoeal diseases	W002	Infectious and parasitic diseases
W011	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Childhood-cluster diseases		L4	Childhood-cluster diseases	W002	Infectious and parasitic diseases
W012	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Childhood-cluster diseases	Pertussis	L5	Pertussis	W011	Childhood-cluster diseases
W013	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Childhood-cluster diseases	Poliomyelitis	L5	Poliomyelitis	W011	Childhood-cluster diseases
W014	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Childhood-cluster diseases	Diphtheria	L5	Diphtheria	W011	Childhood-cluster diseases
W015	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Childhood-cluster diseases	Measles	L5	Measles	W011	Childhood-cluster diseases
W016	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Childhood-cluster diseases	Tetanus	L5	Tetanus	W011	Childhood-cluster diseases
W017	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Meningitis		L4	Meningitis	W002	Infectious and parasitic diseases
W018	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Hepatitis B (g)		L4	Hepatitis B (g)	W002	Infectious and parasitic diseases
W019	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Hepatitis C (g)		L4	Hepatitis C (g)	W002	Infectious and parasitic diseases
W020	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Malaria		L4	Malaria	W002	Infectious and parasitic diseases
W021	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Tropical-cluster diseases		L4	Tropical-cluster diseases	W002	Infectious and parasitic diseases
W022	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Tropical-cluster diseases	Trypanosomiasis	L5	Trypanosomiasis	W021	Tropical-cluster diseases
W023	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Tropical-cluster diseases	Chagas disease	L5	Chagas disease	W021	Tropical-cluster diseases
W024	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Tropical-cluster diseases	Schistosomiasis	L5	Schistosomiasis	W021	Tropical-cluster diseases
W025	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Tropical-cluster diseases	Leishmaniasis	L5	Leishmaniasis	W021	Tropical-cluster diseases
W026	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Tropical-cluster diseases	lymphatic filariasis	L5	lymphatic filariasis	W021	Tropical-cluster diseases
W027	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Tropical-cluster diseases	Onchocerciasis	L5	Onchocerciasis	W021	Tropical-cluster diseases
W028	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Leprosy		L4	Leprosy	W002	Infectious and parasitic diseases
W029	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Dengue		L4	Dengue	W002	Infectious and parasitic diseases
W030	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Japanese encephalitis		L4	Japanese encephalitis	W002	Infectious and parasitic diseases
W031	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Trachoma		L4	Trachoma	W002	Infectious and parasitic diseases
W032	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Intestinal nematode infections		L4	Intestinal nematode infections	W002	Infectious and parasitic diseases
W033	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Intestinal nematode infections	Ascariasis	L5	Ascariasis	W032	Intestinal nematode infections
W034	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Intestinal nematode infections	Trichuriasis	L5	Trichuriasis	W032	Intestinal nematode infections
W035	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Infectious and parasitic diseases	Intestinal nematode infections	Hookworm disease	L5	Hookworm disease	W032	Intestinal nematode infections
W038	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Respiratory infections			L3	Respiratory infections	W001	"Communicable, maternal, perinatal and nutritional conditions"
W039	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Respiratory infections	Lower respiratory infections		L4	Lower respiratory infections	W038	Respiratory infections
W040	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Respiratory infections	Upper respiratory infections		L4	Upper respiratory infections	W038	Respiratory infections
W041	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Respiratory infections	Otitis media		L4	Otitis media	W038	Respiratory infections
W042	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Maternal conditions			L3	Maternal conditions	W001	"Communicable, maternal, perinatal and nutritional conditions"
W049	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Perinatal conditions (h)			L3	Perinatal conditions (h)	W001	"Communicable, maternal, perinatal and nutritional conditions"
W050	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Perinatal conditions (h)	Prematurity and low birth weight		L4	Prematurity and low birth weight	W049	Perinatal conditions (h)
W051	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Perinatal conditions (h)	Birth asphyxia and birth trauma		L4	Birth asphyxia and birth trauma	W049	Perinatal conditions (h)
W052	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Perinatal conditions (h)	Neonatal infections and other conditions (i)		L4	Neonatal infections and other conditions (i)	W049	Perinatal conditions (h)
W053	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Nutritional deficiencies	Nutritional deficiencies		L4	Nutritional deficiencies	W053	Nutritional deficiencies
W054	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Nutritional deficiencies	Protein-energy malnutrition		L4	Protein-energy malnutrition	W053	Nutritional deficiencies
W055	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Nutritional deficiencies	Iodine deficiency		L4	Iodine deficiency	W053	Nutritional deficiencies
W056	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Nutritional deficiencies	Vitamin A deficiency		L4	Vitamin A deficiency	W053	Nutritional deficiencies
W057	All Causes	"Communicable, maternal, perinatal and nutritional conditions"	Nutritional deficiencies	Iron-deficiency anaemia		L4	Iron-deficiency anaemia	W053	Nutritional deficiencies
W059	All Causes	Noncommunicable diseases				L2	Noncommunicable diseases	W000	All Causes
W060	All Causes	Noncommunicable diseases	Malignant neoplasms			L3	Malignant neoplasms	W059	Noncommunicable diseases
W061	All Causes	Noncommunicable diseases	Malignant neoplasms	Mouth and oropharynx cancers		L4	Mouth and oropharynx cancers	W059	Noncommunicable diseases
W062	All Causes	Noncommunicable diseases	Malignant neoplasms	Oesophagus cancer		L4	Oesophagus cancer	W059	Noncommunicable diseases
W063	All Causes	Noncommunicable diseases	Malignant neoplasms	Stomach cancer		L4	Stomach cancer	W059	Noncommunicable diseases
W064	All Causes	Noncommunicable diseases	Malignant neoplasms	Colon and rectum cancers		L4	Colon and rectum cancers	W059	Noncommunicable diseases
W065	All Causes	Noncommunicable diseases	Malignant neoplasms	Liver cancer		L4	Liver cancer	W059	Noncommunicable diseases
W066	All Causes	Noncommunicable diseases	Malignant neoplasms	Pancreas cancer		L4	Pancreas cancer	W059	Noncommunicable diseases
W067	All Causes	Noncommunicable diseases	Malignant neoplasms	"Trachea, bronchus, lung cancers"		L4	"Trachea, bronchus, lung cancers"	W059	Noncommunicable diseases
W068	All Causes	Noncommunicable diseases	Malignant neoplasms	Melanoma and other skin cancers		L4	Melanoma and other skin cancers	W059	Noncommunicable diseases
W069	All Causes	Noncommunicable diseases	Malignant neoplasms	Breast cancer		L4	Breast cancer	W059	Noncommunicable diseases
W070	All Causes	Noncommunicable diseases	Malignant neoplasms	Cervix uteri cancer		L4	Cervix uteri cancer	W059	Noncommunicable diseases
W071	All Causes	Noncommunicable diseases	Malignant neoplasms	Corpus uteri cancer		L4	Corpus uteri cancer	W059	Noncommunicable diseases
W072	All Causes	Noncommunicable diseases	Malignant neoplasms	Ovary cancer		L4	Ovary cancer	W059	Noncommunicable diseases
W073	All Causes	Noncommunicable diseases	Malignant neoplasms	Prostate cancer		L4	Prostate cancer	W059	Noncommunicable diseases
W074	All Causes	Noncommunicable diseases	Malignant neoplasms	Bladder cancer		L4	Bladder cancer	W059	Noncommunicable diseases
W075	All Causes	Noncommunicable diseases	Malignant neoplasms	"Lymphomas, multiple myeloma"		L4	"Lymphomas, multiple myeloma"	W059	Noncommunicable diseases
W076	All Causes	Noncommunicable diseases	Malignant neoplasms	Leukaemia		L4	Leukaemia	W059	Noncommunicable diseases
W078	All Causes	Noncommunicable diseases	Other neoplasms			L3	Other neoplasms	W059	Noncommunicable diseases
W079	All Causes	Noncommunicable diseases	Diabetes mellitus			L3	Diabetes mellitus	W059	Noncommunicable diseases
W080	All Causes	Noncommunicable diseases	Endocrine disorders			L3	Endocrine disorders	W059	Noncommunicable diseases
W081	All Causes	Noncommunicable diseases	Neuropsychiatric conditions			L3	Neuropsychiatric conditions	W059	Noncommunicable diseases
W082	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Unipolar depressive disorders		L4	Unipolar depressive disorders	W059	Noncommunicable diseases
W083	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Bipolar disorder		L4	Bipolar disorder	W059	Noncommunicable diseases
