GBD code	X3010	X4005	X1010	X4008	X1020	X2010	X2020	X4007	X5020	X4010	X4012	X2030	X3020	X3025	X2040	X4018	X4020	X2045	X1025	X3027	X2060	X4025	X1030	X2070	X3030	X4030	X1035	X1040	X3050	X1045	X2090	X1060	X1070	X1080	X2120	X3068	X2130	X1090	X1100	X5060	X2140	X4038	X2150	X3080	X4045	X1115	X3083	X1555	X4050	X1120	X2160	X2170	X2180	X1125	X2190	X1130	X1135	X4055	X1140	X5070	X4070	X4080	X1160	X1170	X4084	X4085	X1180	X4140	X2230	X2250	X1190	X1192	X2260	X2270	X2280	X4150	X4160	X3100	X3110	X3130	X3140	X4170	X3150	X4180	X2290	X3160	X3170	X4182	X1220	X5105	X3190	X4184	X3200	X4186	X3210	X1230	X1240	X1250	X4188	X4190	X1260	X1270	X3236	X3255	X1280	X4200	X5107	X1290	X1300	X2310	X5108	X4205	X3260	X1310	X1320	X3270	X1325	X5110	X3280	X4210	X5150	X2340	X1330	X1340	X5170	X4220	X3285	X3290	X5180	X2350	X5195	X2360	X2370	X3300	X4230	X4240	X3320	X3325	X4260	X4270	X4272	X1370	X2385	X2400	X2420	X5197	X4275	X1385	X3340	X1390	X4350	X1400	X1410	X3350	X4274	X4276	X5198	X1420	X1430	X4280	X3365	X1470	X2430	X1480	X4290	X4300	X3370	X4301	X3380	X4195	X3087	X1510	X5200	X2440	X1520	X3400	X4302	X5205	X1530	X4303	X3405	X4308	X1546	X2450	X2460	X4335	X5207	X2470	X3408	X3420	X1560	X1570
W000	2120.44	832.49	531.57	848.52	2286.72	801.79	768.86	1365.50	668.49	904.14	812.13	648.32	355.22	814.47	774.32	1462.89	1017.02	631.10	1228.48	804.89	800.63	921.29	1509.41	695.90	274.14	1428.12	1638.71	1769.20	1091.89	1406.36	704.25	548.27	1700.10	1715.56	557.29	707.85	555.08	671.91	1107.49	529.68	424.97	1150.81	728.70	693.40	1045.33	1821.76	944.93	1881.16	1050.16	1054.58	685.29	846.82	566.65	698.90	593.23	1783.25	743.79	1322.22	1402.99	614.84	908.87	901.42	1082.89	1114.62	871.97	998.69	1041.62	947.53	889.45	626.40	1293.43	1737.02	1011.15	1208.53	648.48	1289.77	652.06	922.84	906.29	548.48	1348.67	738.86	529.68	946.38	804.07	792.78	426.55	1302.36	1280.14	753.46	175.89	915.08	896.71	1422.47	749.97	1385.29	1974.33	450.83	1211.82	823.22	1038.76	1761.56	514.46	706.25	1909.79	785.42	926.42	1098.76	717.80	498.23	540.79	776.37	725.80	552.31	1421.16	1112.03	928.56	989.22	899.88	842.74	684.10	566.42	2350.55	1622.17	578.95	898.27	309.69	820.38	630.43	465.22	813.39	546.57	608.49	597.86	964.61	996.58	188.70	591.24	1294.92	1186.36	1559.07	1701.54	901.29	612.00	711.20	666.44	944.50	1048.10	424.54	1259.81	1195.86	712.52	2451.33	464.15	965.12	953.01	554.82	1974.91	1535.92	860.57	1120.99	1185.92	766.39	1590.09	978.24	820.51	387.67	807.26	806.15	998.01	739.03	1226.94	635.83	814.54	589.77	575.74	971.96	1002.18	1447.63	1602.43	156.19	993.65	1450.06	831.27	934.15	724.83	578.38	444.45	618.90	901.17	1878.60	2374.57
W000a	1362.64	779.47	487.72	668.32	1978.39	732.90	756.72	1218.80	654.30	892.04	767.13	639.87	326.13	752.20	764.13	1417.48	1003.27	571.38	1010.99	573.10	547.31	832.67	1239.05	671.89	271.22	1387.26	1385.61	1510.86	850.16	1168.04	696.15	422.51	1404.18	1346.02	537.25	676.04	534.82	458.57	856.14	526.50	396.65	1128.86	711.49	618.67	1035.99	1577.00	550.60	1530.95	1045.27	880.89	681.56	773.50	533.66	683.51	522.29	1428.38	514.24	1291.83	1115.86	556.38	902.77	890.56	865.43	843.77	727.48	994.07	766.96	917.72	837.29	566.18	1010.16	1423.36	840.79	955.48	523.92	1197.64	648.01	889.95	859.43	506.31	1009.28	704.96	517.92	922.15	738.20	792.33	418.15	1201.77	1018.37	746.95	154.99	850.31	772.55	1405.90	695.52	1187.53	1546.91	346.35	1209.20	819.08	793.95	1564.69	486.45	638.85	1558.32	759.67	841.60	823.52	706.67	451.17	472.11	727.43	620.34	508.81	1127.59	749.58	795.09	685.92	841.95	830.59	671.65	529.71	1737.61	1307.13	573.73	881.91	231.46	738.04	624.96	442.18	724.57	510.31	567.23	571.29	952.91	976.20	180.82	580.07	1268.99	1179.86	1488.95	1526.79	897.02	608.77	706.27	624.02	924.60	754.83	316.19	967.65	1168.35	706.50	1892.74	430.36	942.72	947.31	436.69	1726.25	1409.63	835.67	983.86	916.18	691.40	1348.24	963.73	803.09	365.49	728.84	756.68	956.93	499.58	969.23	611.20	786.37	557.19	543.61	944.28	983.55	1179.63	1578.89	148.59	979.48	1418.93	812.90	921.05	688.47	456.83	423.24	584.29	679.57	1547.13	2230.78
W000b	3290.25	945.92	574.66	1026.38	3058.73	871.01	781.87	1814.03	681.38	917.91	876.53	656.89	388.56	877.24	787.53	1496.50	1031.04	693.05	1657.24	1113.19	1125.57	1004.71	1640.13	715.68	282.94	1495.04	2229.30	2610.77	1464.62	1875.39	712.65	690.62	2136.25	2117.79	579.11	737.36	575.81	963.11	1506.55	532.73	455.32	1174.62	744.65	775.21	1055.09	2570.20	1436.37	2448.41	1055.07	1574.95	689.39	900.16	594.36	714.05	624.38	1981.70	959.76	1353.33	1881.61	670.29	917.83	945.17	1361.77	1458.45	1042.46	1003.50	1350.29	972.56	939.66	669.71	1652.25	2127.07	1185.22	1749.49	803.16	1381.55	656.08	947.51	953.08	589.46	1715.59	777.70	541.71	970.24	865.39	833.27	471.36	1385.18	1530.70	755.51	213.96	964.13	1032.39	1439.24	801.86	1638.75	2615.29	580.45	1220.49	827.39	1326.30	2135.79	536.91	780.76	2396.00	812.04	1006.56	1532.55	731.30	530.85	606.89	1072.79	736.76	595.63	1708.33	1601.08	1143.79	1304.10	958.48	855.51	697.92	613.70	3306.42	1921.00	585.22	914.89	407.37	902.92	634.80	490.11	898.46	567.81	653.48	625.38	976.83	1021.39	203.00	602.73	1315.76	1193.22	1615.92	2379.45	906.16	615.46	716.77	706.23	965.43	1426.54	560.83	1701.97	1226.33	718.04	3782.22	499.04	988.36	962.98	671.91	2717.77	1638.88	884.19	1250.32	1537.61	836.64	1906.84	992.53	839.09	410.14	878.79	857.79	1042.41	1086.81	1697.98	661.13	843.73	623.12	605.07	1004.37	1017.64	1731.53	1628.91	178.43	1008.42	1656.66	850.69	946.84	764.05	696.06	465.62	651.82	1196.25	2279.54	2887.79
W001	1439.31	49.66	159.87	40.37	1669.80	99.23	103.49	58.00	32.38	28.17	135.02	160.47	31.57	368.60	107.97	31.22	56.87	141.21	815.25	320.70	293.00	23.90	1140.57	129.24	26.62	34.82	1117.72	1240.45	604.37	913.84	32.81	204.66	1111.61	1220.01	46.95	73.03	79.88	345.56	720.67	117.87	34.35	49.81	68.54	47.68	30.54	1167.44	284.12	1349.76	39.90	605.75	83.77	192.94	126.44	120.61	147.13	1146.42	439.26	38.07	987.78	119.68	42.01	52.14	554.89	620.70	70.10	42.28	622.90	42.47	153.68	251.97	824.04	1244.72	276.98	654.20	176.89	20.81	28.65	360.20	223.99	80.00	449.64	61.36	33.76	30.73	137.37	98.40	71.92	152.35	911.21	239.14	17.99	159.68	412.15	39.63	76.50	1002.98	1494.28	72.52	34.90	55.46	612.44	1360.72	110.30	136.53	1322.73	59.71	242.26	615.88	45.27	69.41	128.71	51.11	131.69	111.89	992.02	454.24	646.03	171.20	410.73	55.32	19.22	126.22	1751.51	1130.11	144.08	50.33	25.46	380.00	140.48	92.89	427.55	107.56	186.23	208.63	33.55	69.05	23.40	30.05	58.17	49.42	73.07	1253.04	182.43	68.91	142.27	160.16	34.85	556.48	68.62	700.80	27.83	95.56	1795.92	77.96	42.01	52.51	205.29	1231.72	881.30	41.87	98.98	507.83	154.24	1183.79	50.97	34.85	55.75	373.97	223.91	25.37	412.55	796.33	143.46	121.13	159.78	74.79	265.12	234.58	1024.60	58.29	24.69	77.18	985.99	52.05	71.79	180.05	165.01	62.21	143.42	424.69	1438.43	1864.24
W002	573.37	15.65	54.65	14.75	803.39	46.48	39.74	23.33	9.20	7.19	44.42	129.11	17.36	172.95	61.64	22.57	15.05	45.56	440.67	160.59	119.28	9.90	951.12	54.58	9.27	9.17	635.14	691.66	303.24	592.86	11.63	119.85	736.06	749.12	12.79	33.21	34.50	169.28	515.46	68.47	10.84	9.41	7.84	9.57	3.72	745.99	114.35	781.35	8.28	368.58	36.25	104.63	58.38	43.50	68.26	700.40	240.60	13.94	552.42	69.86	6.88	18.90	390.62	326.72	27.07	14.33	415.45	6.80	61.60	85.73	451.30	664.94	148.71	382.96	79.11	6.17	6.13	166.25	109.10	23.74	149.02	4.76	16.02	9.51	68.58	17.73	19.96	52.00	665.21	119.14	5.00	59.00	200.60	14.64	26.50	881.97	801.24	28.85	15.18	16.31	269.45	948.15	62.86	59.04	664.50	4.29	128.90	322.31	11.29	20.65	82.78	15.28	65.77	40.25	684.32	236.42	566.33	116.77	187.39	12.80	4.07	46.89	917.17	706.18	79.85	14.08	11.86	163.76	77.99	46.02	234.90	44.85	74.68	94.82	7.03	25.30	13.97	14.96	22.71	14.70	40.59	684.75	71.73	24.11	70.07	98.06	1.62	321.55	26.24	359.40	8.07	42.54	895.86	9.16	4.88	6.00	103.38	641.99	777.42	18.17	44.97	326.07	80.00	964.77	13.74	8.96	23.46	155.88	177.60	9.48	269.57	511.54	90.77	74.88	63.33	26.07	90.06	155.14	712.15	49.22	11.10	10.71	659.74	22.95	23.47	68.44	107.73	24.29	80.60	142.52	1062.78	1642.57
W003	41.84	3.83	1.94	1.16	26.40	0.00	2.06	10.16	0.17	0.55	10.16	3.72	2.10	50.92	0.00	11.37	1.15	6.88	14.32	21.11	32.00	6.80	41.03	7.17	4.20	3.62	46.78	65.85	81.55	18.64	0.41	42.97	56.29	56.80	4.38	16.61	6.97	7.25	53.34	5.61	1.90	3.76	0.39	0.45	0.68	67.73	13.44	57.44	0.70	107.72	1.16	16.62	26.21	3.06	8.36	36.80	55.61	7.99	63.82	2.44	1.30	1.56	36.56	36.11	13.05	0.55	39.95	0.73	0.00	12.30	41.91	28.90	14.46	57.61	11.73	2.94	1.40	27.66	44.96	2.95	9.86	0.96	0.70	0.79	0.92	3.31	0.51	18.98	81.05	6.40	1.25	18.13	24.67	8.25	1.11	35.09	49.76	1.45	9.35	0.39	40.25	48.37	15.78	4.66	63.01	0.43	9.80	59.41	1.03	2.75	12.10	0.94	25.33	8.90	58.47	20.01	38.32	2.40	23.30	0.51	0.67	8.27	36.63	56.37	2.19	0.99	1.03	40.12	9.44	3.31	43.25	14.00	21.26	47.82	2.44	3.61	4.39	8.72	17.23	9.68	27.07	71.84	3.98	0.54	2.87	5.28	0.00	41.02	4.85	52.12	3.48	1.06	95.91	2.35	1.00	0.65	27.07	43.25	87.38	1.08	8.86	54.30	2.21	81.71	1.01	0.38	4.76	34.82	17.96	4.73	76.63	79.55	3.13	2.35	2.78	5.37	10.95	6.14	61.77	23.04	2.11	0.77	48.75	0.26	2.65	15.72	16.77	2.83	21.81	10.88	60.77	61.60
W004	5.29	0.13	1.51	0.05	5.67	0.00	0.16	0.13	0.05	0.07	0.14	0.87	0.09	2.34	0.18	0.04	0.04	0.00	4.69	3.83	0.55	0.00	1.22	0.26	0.00	0.06	9.59	4.09	1.28	2.32	0.04	1.64	2.88	3.75	0.14	0.20	0.30	1.59	1.59	0.03	0.07	0.00	0.20	0.00	0.03	4.71	5.40	3.38	0.15	1.55	0.00	0.26	0.11	3.44	0.08	4.77	1.61	0.24	19.18	0.15	0.04	0.05	2.16	3.11	0.07	0.04	3.03	0.00	0.00	0.39	2.42	12.69	0.28	4.97	0.28	0.18	0.00	4.15	1.50	0.09	2.61	0.05	0.03	0.06	0.25	0.10	0.06	0.16	2.56	0.00	0.06	0.91	5.82	0.13	1.18	1.52	19.63	1.19	0.15	0.00	2.19	4.85	0.49	0.91	6.09	0.00	0.19	6.43	0.07	0.08	0.07	0.00	0.86	0.51	2.37	4.97	0.89	0.67	4.01	0.05	0.07	0.14	10.75	3.92	0.06	0.14	0.01	7.77	0.13	0.05	6.55	0.32	0.40	0.18	0.04	0.10	0.00	0.03	0.25	0.06	0.07	7.49	0.00	0.00	0.61	0.07	0.00	50.00	0.07	3.05	0.01	0.00	14.02	0.09	0.02	0.11	0.24	3.34	3.73	0.03	0.36	0.96	0.58	2.65	0.04	0.04	0.22	5.41	0.16	0.00	16.39	2.43	0.07	0.37	5.54	0.13	1.02	0.23	3.65	0.08	0.05	0.11	11.69	0.05	0.15	0.27	0.00	0.22	1.24	1.04	3.77	1.76
W005	3.87	0.13	0.49	0.02	4.19	0.00	0.12	0.08	0.01	0.01	0.14	0.00	0.00	1.47	0.00	0.00	0.00	0.00	3.59	2.22	0.36	0.00	0.50	0.13	0.00	0.05	8.00	2.97	1.00	1.11	0.02	0.79	1.70	2.63	0.02	0.20	0.26	0.80	0.86	0.00	0.05	0.00	0.01	0.00	0.01	3.59	3.52	2.41	0.00	1.52	0.00	0.14	0.10	1.32	0.08	3.09	1.18	0.00	18.22	0.00	0.00	0.01	0.67	1.98	0.07	0.01	2.93	0.00	0.00	0.29	1.43	11.00	0.11	3.56	0.21	0.01	0.00	3.19	0.59	0.08	1.63	0.03	0.02	0.03	0.16	0.01	0.06	0.09	1.94	0.00	0.03	0.86	3.56	0.09	0.45	0.60	17.70	0.42	0.03	0.00	1.28	3.86	0.13	0.87	4.61	0.00	0.00	5.16	0.07	0.02	0.00	0.00	0.12	0.30	1.57	3.00	0.29	0.07	2.32	0.03	0.00	0.14	8.71	2.80	0.00	0.02	0.01	7.31	0.00	0.05	5.42	0.20	0.14	0.11	0.01	0.03	0.00	0.00	0.00	0.05	0.04	6.49	0.00	0.00	0.34	0.00	0.00	40.88	0.05	1.71	0.00	0.00	11.97	0.00	0.00	0.00	0.24	3.23	3.10	0.01	0.35	0.93	0.50	1.93	0.00	0.01	0.09	0.51	0.08	0.00	16.05	1.64	0.00	0.04	1.97	0.12	0.26	0.00	2.95	0.05	0.03	0.01	10.21	0.02	0.06	0.22	0.00	0.16	0.79	0.96	2.92	0.82
W006	0.45	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.51	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.59	0.00	0.00	0.01	0.00	0.00	0.00	0.27	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.40	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.00	0.09	0.00	0.01	0.05	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.70	0.00	0.00	1.03	0.00	0.00	0.00	0.02	0.01	0.00	0.00	0.00	0.19	0.00	0.00	0.40	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.09	0.01	0.00	0.01
W007	0.13	0.00	0.00	0.00	0.06	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.27	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.00	0.07	0.01	0.01	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.09	0.00	0.02	0.04	0.00	0.00	0.00	0.01	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.04	0.01	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.03	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.08	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.40	0.02	0.00	0.00	0.01	0.01	0.00	0.00	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.01	0.01	0.01
