date	cost
2017-01-03	7.27
2017-01-04	8.05
2017-01-05	8.71
2017-01-06	8.05
2017-01-11	6.81
2017-01-12	8.05
2017-01-13	8.91
2017-01-17	11.42
2017-01-18	8.05
2017-01-19	8.54
2017-01-20	7.30
2017-01-23	8.05
2017-01-24	8.05
2017-01-25	8.05
2017-01-26	2.73
2017-01-27	8.05
2017-01-30	8.74
2017-01-31	8.13
2017-02-02	8.00
2017-02-03	9.01
2017-02-06	8.05
2017-02-07	8.05
2017-02-08	8.05
2017-02-10	6.99
2017-02-13	8.05
2017-02-14	8.05
2017-02-15	8.05
2017-02-16	8.05
2017-02-17	8.84
2017-02-21	8.05
2017-02-22	8.05
2017-02-23	10.29
2017-02-23	8.54
2017-02-24	8.84
2017-02-27	8.05
2017-02-28	8.05
2017-03-01	8.05
2017-03-02	8.05
2017-03-03	8.05
2017-03-06	8.05
2017-03-07	8.05
2017-03-08	8.05
2017-03-09	8.05
2017-03-10	8.41
2017-03-13	8.05
2017-03-15	8.05
2017-03-16	8.05
2017-03-17	8.05
2017-03-22	8.05
2017-03-23	8.05
2017-03-24	8.84
2017-03-27	8.05
2017-03-28	8.05
2017-03-30	8.05
2017-03-31	8.05
2017-04-03	8.05
2017-04-04	8.05
2017-04-05	8.05
2017-04-06	8.05
2017-04-07	8.84
2017-04-10	8.05
2017-04-11	8.05
2017-04-12	8.05
2017-04-13	8.05
2017-04-14	9.99
2017-04-17	8.05
2017-04-18	8.05
2017-04-19	8.05
2017-04-20	8.05
2017-04-21	8.05
2017-04-24	8.05
2017-04-25	8.05
2017-04-26	7.25
2017-04-27	8.05
2017-04-28	8.05
2017-05-01	8.05
2017-05-02	7.74
2017-05-03	8.05
2017-05-04	8.05
2017-05-05	8.05
2017-05-08	7.25
2017-05-09	7.75
2017-05-10	7.02
2017-05-11	8.05
2017-05-12	8.84
2017-05-15	8.05
2017-05-16	8.05
2017-05-17	8.05
2017-05-18	8.05
2017-05-19	8.11
2017-05-19	8.05
2017-05-23	8.05
2017-05-25	8.05
2017-05-30	8.91
2017-06-01	2.73
2017-06-02	8.05
2017-06-05	8.84
2017-06-06	6.42
2017-06-07	7.60
2017-06-08	8.05
2017-06-09	8.05
2017-06-12	8.05
2017-06-13	8.84
2017-06-16	8.05
2017-06-20	8.05
2017-06-21	8.05
2017-06-23	8.05
2017-06-27	8.05
2017-06-29	8.05
2017-07-11	8.05
2017-07-13	5.76
2017-07-14	5.76
2017-07-17	8.91
2017-07-18	8.05
2017-07-20	8.05
2017-07-21	8.36
2017-07-25	8.00
2017-07-26	9.92
2017-07-27	8.00
2017-07-28	8.00
2017-08-03	8.00
2017-08-09	8.05
2017-08-17	9.00
2017-08-18	11.48
2017-08-23	9.53
2017-08-25	9.53
2017-08-28	8.05
2017-08-30	9.53
2017-09-01	11.48
2017-09-05	8.66
2017-09-07	8.05
2017-09-08	9.80
2017-09-11	8.05
2017-09-13	9.25
2017-09-14	8.66
2017-09-15	6.97
2017-10-02	8.05
2017-10-03	8.05
2017-10-04	8.05
2017-10-05	8.05
2017-10-06	11.48
2017-10-10	9.80
2017-10-11	7.25
2017-10-12	7.25
2017-10-13	9.80
2017-10-18	9.80
2017-10-19	7.25
2017-10-20	8.17
2017-10-23	8.19
2017-10-24	9.74
2017-10-25	5.97
2017-10-26	7.29
2017-10-27	8.00
2017-11-01	8.66
2017-11-02	6.70
2017-11-04	10.57
2017-11-06	10.84
2017-11-08	11.21
2017-11-09	8.40
2017-11-10	9.13
2017-11-16	8.13
2017-11-27	9.22
2017-11-28	9.25
2017-11-29	8.22
2017-11-30	6.99
2017-12-01	9.44
2017-12-09	10.83
2017-12-13	8.36
2017-12-28	8.25
